,articleNo,token (raw text),token (lowercase),lemma,POS,entity IOB,entity type
47,4,(,(,(,-LRB-,O,
48,4,or,or,or,CC,O,
49,4,Economies,economies,Economies,NNPS,O,
50,4,of,of,of,IN,O,
51,4,the,the,the,DT,O,
52,4,Unlost,unlost,Unlost,NNP,B,GPE
53,4,),),),-RRB-,O,
54,5,The,the,the,DT,B,ORG
55,5,Rolling,rolling,Rolling,NNP,I,ORG
56,5,Corpus,corpus,Corpus,NNP,I,ORG
57,5,Materiality,materiality,Materiality,NNP,I,ORG
58,5,and,and,and,CC,O,
59,5,Pluriformity,pluriformity,Pluriformity,NNP,O,
60,5,at,at,at,IN,O,
61,5,Qumran,qumran,Qumran,NNP,B,GPE
62,5,",",",",",",",",O,
63,5,with,with,with,IN,O,
64,5,Special,special,Special,NNP,O,
65,5,Consideration,consideration,Consideration,NNP,O,
66,5,of,of,of,IN,O,
67,5,the,the,the,DT,O,
68,5,Serekh,serekh,Serekh,NNP,B,NORP
69,5,ha,ha,ha,UH,O,
70,5,-,-,-,:,O,
71,5,Yahad,yahad,yahad,NN,O,
72,6,History,history,history,NN,O,
73,6,and,and,and,CC,O,
74,6,Class,class,Class,NNP,O,
75,6,Consciousness,consciousness,Consciousness,NNP,O,
76,6,2.0,2.0,2.0,CD,O,
77,6,:,:,:,:,O,
78,6,Georg,georg,Georg,NNP,B,PERSON
79,6,Lukacs,lukacs,Lukacs,NNP,I,PERSON
80,6,in,in,in,IN,O,
81,6,the,the,the,DT,O,
82,6,age,age,age,NN,O,
83,6,of,of,of,IN,O,
84,6,digital,digital,digital,JJ,O,
85,6,capitalism,capitalism,capitalism,NN,O,
86,6,and,and,and,CC,O,
87,6,big,big,big,JJ,O,
88,6,data,data,datum,NNS,O,
89,7,The,the,the,DT,O,
90,7,History,history,history,NN,O,
91,7,of,of,of,IN,O,
92,7,Printing,printing,Printing,NNP,O,
93,7,and,and,and,CC,O,
94,7,Print,print,Print,NNP,O,
95,7,Culture,culture,Culture,NNP,O,
96,7,:,:,:,:,O,
97,7,Contexts,contexts,Contexts,NNP,O,
98,7,and,and,and,CC,O,
99,7,Controversies,controversies,controversy,NNS,O,
100,8,Publishing,publishing,publish,VBG,O,
101,8,in,in,in,IN,O,
102,8,Africa,africa,Africa,NNP,B,LOC
103,8,Where,where,where,WRB,O,
104,8,are,are,be,VBP,O,
105,8,we,we,we,PRP,O,
106,8,now,now,now,RB,O,
107,8,?,?,?,.,O,
108,8,An,an,an,DT,O,
109,8,update,update,update,NN,O,
110,8,for,for,for,IN,O,
111,8,2019,2019,2019,CD,B,DATE
112,8,Part,part,part,NN,O,
113,8,2,2,2,CD,B,CARDINAL
114,9,Interaction,interaction,interaction,NN,O,
115,9,and,and,and,CC,O,
116,9,boundary,boundary,boundary,JJ,O,
117,9,work,work,work,NN,O,
118,9,:,:,:,:,O,
119,9,Western,western,western,JJ,O,
120,9,merchant,merchant,merchant,NN,O,
121,9,colonies,colonies,colony,NNS,O,
122,9,in,in,in,IN,O,
123,9,the,the,the,DT,O,
124,9,Levant,levant,Levant,NNP,B,GPE
125,9,and,and,and,CC,O,
126,9,the,the,the,DT,O,
127,9,Eastern,eastern,Eastern,NNP,O,
128,9,Churches,churches,Churches,NNPS,O,
129,9,",",",",",",",",O,
130,9,1650,1650,1650,CD,B,DATE
131,9,-,-,-,SYM,I,DATE
132,9,1800,1800,1800,CD,I,DATE
133,10,Philip,philip,Philip,NNP,B,ORG
134,10,Melanchthon,melanchthon,Melanchthon,NNP,I,ORG
135,10,on,on,on,IN,O,
136,10,Himself,himself,himself,PRP,O,
137,10,and,and,and,CC,O,
138,10,His,his,his,PRP$,O,
139,10,Books,books,book,NNS,O,
140,10,:,:,:,:,O,
141,10,The,the,the,DT,O,
142,10,Preface,preface,Preface,NNP,O,
143,10,to,to,to,IN,O,
144,10,His,his,his,PRP$,O,
145,10,Operum,operum,Operum,NNP,O,
146,10,tomi,tomi,tomi,NN,O,
147,10,quinque,quinque,quinque,NN,O,
148,10,",",",",",",",",O,
149,10,1541,1541,1541,CD,B,DATE
150,11,OPEN[ING,open[ing,OPEN[ING,NNS,O,
151,11,],],],-RRB-,O,
152,11,THE,the,the,DT,O,
153,11,FLOOD,flood,flood,NN,O,
154,11,-,-,-,HYPH,O,
155,11,GATE,gate,GATE,NNP,O,
156,11,OF,of,of,IN,O,
157,11,LITERATURE,literature,LITERATURE,NNP,O,
158,11,TO,to,to,IN,O,
159,11,HER,her,her,PRP$,O,
160,11,OWN,own,OWN,NNP,O,
161,11,SEX,sex,SEX,NNP,O,
162,11,:,:,:,:,O,
163,11,ELIZABETH,elizabeth,ELIZABETH,NNP,B,PERSON
164,11,GRIFFITH,griffith,GRIFFITH,NNP,I,PERSON
165,11,",",",",",",",",O,
166,11,TRANSLATION,translation,TRANSLATION,NNP,B,GPE
167,11,",",",",",",",",O,
168,11,TRANSMISSION,transmission,TRANSMISSION,NNP,B,ORG
169,11,",",",",",",",",O,
170,11,AND,and,and,CC,O,
171,11,CULTURAL,cultural,cultural,JJ,B,ORG
172,11,TRANSFER,transfer,transfer,NN,O,
173,12,The,the,the,DT,O,
174,12,History,history,history,NN,O,
175,12,and,and,and,CC,O,
176,12,Provenance,provenance,Provenance,NNP,O,
177,12,of,of,of,IN,O,
178,12,the,the,the,DT,O,
179,12,Unique,unique,Unique,NNP,O,
180,12,Dustur,dustur,Dustur,NNP,B,PERSON
181,12,al,al,al,NNP,I,PERSON
182,12,-,-,-,HYPH,I,PERSON
183,12,munaggimin,munaggimin,munaggimin,NN,I,PERSON
184,12,Manuscript,manuscript,Manuscript,NNP,I,PERSON
185,12,",",",",",",",",O,
186,12,BnF,bnf,BnF,NNP,B,ORG
187,12,Arabe,arabe,Arabe,NNP,I,ORG
188,12,5968,5968,5968,CD,B,DATE
189,13,Early,early,early,JJ,O,
190,13,modern,modern,modern,JJ,O,
191,13,merchant,merchant,merchant,NN,O,
192,13,'s,'s,'s,POS,O,
193,13,marks,marks,mark,NNS,O,
194,13,in,in,in,IN,O,
195,13,medieval,medieval,medieval,JJ,O,
196,13,English,english,english,JJ,B,LANGUAGE
197,13,manuscripts,manuscripts,manuscript,NNS,O,
198,14,History,history,history,NN,O,
199,14,of,of,of,IN,O,
200,14,Economic,economic,Economic,NNP,O,
201,14,Thought,thought,Thought,NNP,O,
202,14,as,as,as,IN,O,
203,14,an,an,an,DT,O,
204,14,Analytic,analytic,Analytic,NNP,O,
205,14,Tool,tool,Tool,NNP,O,
206,14,:,:,:,:,O,
207,14,why,why,why,WRB,O,
208,14,Past,past,Past,NNP,O,
209,14,Intellectual,intellectual,Intellectual,NNP,O,
210,14,Ideas,ideas,Ideas,NNPS,O,
211,14,Must,must,must,MD,O,
212,14,Be,be,be,VB,O,
213,14,Acknowledged,acknowledged,acknowledge,VBN,O,
214,14,as,as,as,IN,O,
215,14,Lighthouses,lighthouses,lighthouse,NNS,O,
216,14,for,for,for,IN,O,
217,14,the,the,the,DT,O,
218,14,Future,future,future,NN,B,ORG
219,15,To,to,to,TO,O,
220,15,print,print,print,VB,O,
221,15,her,her,her,PRP$,O,
222,15,discourses,discourses,discourse,NNS,O,
223,15,&,&,&,CC,O,
224,15,hymmes,hymmes,hymme,NNS,O,
225,15,:,:,:,:,O,
226,15,the,the,the,DT,O,
227,15,typographic,typographic,typographic,JJ,O,
228,15,features,features,feature,NNS,O,
229,15,of,of,of,IN,O,
230,15,Anna,anna,Anna,NNP,B,PERSON
231,15,Trapnel,trapnel,Trapnel,NNP,I,PERSON
232,15,'s,'s,'s,POS,I,PERSON
233,15,prophecies,prophecies,prophecy,NNS,O,
234,16,Carving,carving,carve,VBG,O,
235,16,and,and,and,CC,O,
236,16,Folding,folding,fold,VBG,B,WORK_OF_ART
237,16,by,by,by,IN,I,WORK_OF_ART
238,16,the,the,the,DT,I,WORK_OF_ART
239,16,Book,book,Book,NNP,I,WORK_OF_ART
240,16,in,in,in,IN,I,WORK_OF_ART
241,16,Early,early,Early,NNP,I,WORK_OF_ART
242,16,Modern,modern,Modern,NNP,I,WORK_OF_ART
243,16,Europe,europe,Europe,NNP,I,WORK_OF_ART
244,17,The,the,the,DT,O,
245,17,Icon,icon,Icon,NNP,B,ORG
246,17,and,and,and,CC,O,
247,17,the,the,the,DT,O,
248,17,Text,text,text,NN,O,
249,17,:,:,:,:,O,
250,17,American,american,American,NNP,B,NORP
251,17,Book,book,Book,NNP,O,
252,17,History,history,History,NNP,O,
253,17,and,and,and,CC,O,
254,17,the,the,the,DT,O,
255,17,Construction,construction,Construction,NNP,O,
256,17,of,of,of,IN,O,
257,17,the,the,the,DT,O,
258,17,World,world,World,NNP,O,
259,17,'s,'s,'s,POS,O,
260,17,Largest,largest,Largest,NNP,O,
261,17,-,-,-,HYPH,O,
262,17,Grossing,grossing,Grossing,NNP,O,
263,17,Illustrated,illustrated,Illustrated,NNP,O,
264,17,Book,book,Book,NNP,O,
265,17,",",",",",",",",O,
266,17,Madonna,madonna,Madonna,NNP,B,PERSON
267,17,'s,'s,'s,POS,O,
268,17,Sex,sex,Sex,NNP,O,
269,17,(,(,(,-LRB-,O,
270,17,1992,1992,1992,CD,B,DATE
271,17,),),),-RRB-,O,
272,18,What,what,what,WP,O,
273,18,the,the,the,DT,O,
274,18,Victorian,victorian,Victorian,NNP,O,
275,18,Empire,empire,Empire,NNP,O,
276,18,Learned,learned,learn,VBD,O,
277,18,:,:,:,:,O,
278,18,A,a,a,DT,O,
279,18,Perspective,perspective,Perspective,NNP,O,
280,18,on,on,on,IN,O,
281,18,History,history,history,NN,O,
282,18,",",",",",",",",O,
283,18,Reading,reading,reading,NN,O,
284,18,and,and,and,CC,O,
285,18,Print,print,Print,NNP,O,
286,18,in,in,in,IN,O,
287,18,Nineteenth,nineteenth,Nineteenth,NNP,B,DATE
288,18,-,-,-,HYPH,I,DATE
289,18,Century,century,Century,NNP,I,DATE
290,18,Textbooks,textbooks,textbook,NNS,O,
291,19,(,(,(,-LRB-,O,
292,19,Re)presenting,re)presenting,re)presente,VBG,O,
293,19,the,the,the,DT,O,
294,19,Socialist,socialist,Socialist,NNP,O,
295,19,Core,core,Core,NNP,O,
296,19,of,of,of,IN,O,
297,19,Furphy,furphy,Furphy,NNP,O,
298,19,'s,'s,'s,POS,O,
299,19,Vision,vision,Vision,NNP,O,
300,19,:,:,:,:,O,
301,19,Rigby,rigby,Rigby,NNP,O,
302,19,'s,'s,'s,POS,O,
303,19,Romanceas,romanceas,Romanceas,NNP,B,PERSON
304,19,Typescript,typescript,Typescript,NNP,I,PERSON
305,19,",",",",",",",",O,
306,19,Serial,serial,Serial,NNP,O,
307,19,and,and,and,CC,O,
308,19,Book,book,Book,NNP,O,
309,20,LOPE,lope,LOPE,NNP,B,ORG
310,20,'S,'s,'S,NNP,I,ORG
311,20,AUTOGRAPH,autograph,AUTOGRAPH,NNP,O,
312,20,DEDICATION,dedication,DEDICATION,NNP,O,
313,20,FOR,for,for,IN,O,
314,20,THE,the,the,DT,O,
315,20,PUBLICATION,publication,publication,NN,O,
316,20,OF,of,of,IN,O,
317,20,THE,the,the,DT,O,
318,20,CARDINAL,cardinal,CARDINAL,NNP,O,
319,20,OF,of,of,IN,O,
320,20,BETHLEHEM,bethlehem,BETHLEHEM,NNP,B,ORG
321,21,THE,the,the,DT,O,
322,21,FIRST,first,first,JJ,O,
323,21,BOOKS,books,BOOKS,NNP,O,
324,21,PRINTED,printed,print,VBN,O,
325,21,IN,in,in,IN,O,
326,21,THE,the,the,DT,O,
327,21,PHILIPPINES,philippines,PHILIPPINES,NNP,B,GPE
328,21,(,(,(,-LRB-,O,
329,21,1593,1593,1593,CD,B,DATE
330,21,-,-,-,SYM,I,DATE
331,21,1607,1607,1607,CD,I,DATE
332,21,),),),-RRB-,O,
333,22,Printed,printed,print,VBN,O,
334,22,Hebrew,hebrew,Hebrew,NNP,O,
335,22,Bibles,bibles,Bibles,NNPS,O,
336,22,in,in,in,IN,O,
337,22,the,the,the,DT,B,ORG
338,22,Russian,russian,Russian,NNP,I,ORG
339,22,Academy,academy,Academy,NNP,I,ORG
340,22,of,of,of,IN,I,ORG
341,22,Science,science,Science,NNP,I,ORG
342,22,Library,library,Library,NNP,I,ORG
343,23,Laudivius,laudivius,Laudivius,NNP,B,ORG
344,23,Zacchia,zacchia,Zacchia,NNP,I,ORG
345,23,'s,'s,'s,POS,I,ORG
346,23,Epistolae,epistolae,Epistolae,NNP,O,
347,23,Magni,magni,Magni,NNP,O,
348,23,Turci,turci,Turci,NNP,O,
349,23,in,in,in,IN,O,
350,23,two,two,two,CD,B,CARDINAL
351,23,Spanish,spanish,spanish,JJ,O,
352,23,Early,early,early,JJ,O,
353,23,Printed,printed,Printed,NNP,O,
354,23,Books,books,Books,NNPS,O,
355,23,:,:,:,:,O,
356,23,New,new,new,JJ,O,
357,23,data,data,datum,NNS,O,
358,23,for,for,for,IN,O,
359,23,identification,identification,identification,NN,O,
360,24,The,the,the,DT,B,WORK_OF_ART
361,24,Quiet,quiet,Quiet,NNP,I,WORK_OF_ART
362,24,Don,don,Don,NNP,I,WORK_OF_ART
363,24,Bears,bears,Bears,NNP,I,WORK_OF_ART
364,24,Quiet,quiet,Quiet,NNP,I,WORK_OF_ART
365,24,Flood,flood,Flood,NNP,I,WORK_OF_ART
366,24,:,:,:,:,O,
367,24,the,the,the,DT,O,
368,24,Don,don,Don,NNP,B,PERSON
369,24,'s,'s,'s,POS,O,
370,24,Images,images,Images,NNPS,O,
371,24,in,in,in,IN,O,
372,24,A.A.,a.a.,A.A.,NNP,B,GPE
373,24,Akhmatova,akhmatova,Akhmatova,NNP,O,
374,24,'s,'s,'s,POS,O,
375,24,Poem,poem,Poem,NNP,B,ORG
376,24,Requiem,requiem,Requiem,NNP,I,ORG
377,25,SUBSCRIPTION,subscription,subscription,NN,O,
378,25,LISTS,lists,lists,NN,B,ORG
379,25,AS,as,as,IN,I,ORG
380,25,A,a,a,DT,I,ORG
381,25,PARATEXT,paratext,PARATEXT,NNP,I,ORG
382,25,:,:,:,:,I,ORG
383,25,FROM,from,from,IN,I,ORG
384,25,SOCIAL,social,SOCIAL,NNP,I,ORG
385,25,HIERARCHY,hierarchy,hierarchy,NN,O,
386,25,TO,to,to,IN,O,
387,25,AN,an,an,DT,O,
388,25,IMAGINED,imagined,IMAGINED,NNP,O,
389,25,COMMUNITY,community,COMMUNITY,NNP,O,
390,26,AMERICAN,american,AMERICAN,NNP,B,ORG
391,26,LITERARY,literary,LITERARY,NNP,I,ORG
392,26,JOURNALISM,journalism,JOURNALISM,NNP,I,ORG
393,26,AND,and,and,CC,I,ORG
394,26,BOOK,book,BOOK,NNP,I,ORG
395,26,HISTORY,history,HISTORY,NNP,I,ORG
396,26,Crossing,crossing,cross,VBG,O,
397,26,the,the,the,DT,O,
398,26,Divide,divide,Divide,NNP,B,ORG
399,27,Brazilian,brazilian,brazilian,JJ,B,ORG
400,27,Books,books,Books,NNPS,I,ORG
401,27,in,in,in,IN,O,
402,27,the,the,the,DT,O,
403,27,1920,1920,1920,CD,B,DATE
404,27,'s,'s,'s,POS,O,
405,27,:,:,:,:,O,
406,27,Graphic,graphic,Graphic,NNP,B,ORG
407,27,Aspects,aspects,Aspects,NNPS,I,ORG
408,27,and,and,and,CC,O,
409,27,Writers,writers,Writers,NNP,O,
410,27,',',',POS,O,
411,27,Performance,performance,performance,NN,O,
412,28,Codex,codex,Codex,NNP,O,
413,28,and,and,and,CC,O,
414,28,Volumina,volumina,Volumina,NNP,B,GPE
415,28,in,in,in,IN,O,
416,28,Early,early,early,JJ,O,
417,28,Christian,christian,Christian,NNP,O,
418,28,Art,art,Art,NNP,O,
419,29,Secret,secret,secret,JJ,O,
420,29,agents,agents,agent,NNS,O,
421,29,:,:,:,:,O,
422,29,Algorithmic,algorithmic,algorithmic,JJ,O,
423,29,culture,culture,culture,NN,O,
424,29,",",",",",",",",O,
425,29,Goodreads,goodreads,goodread,NNS,O,
426,29,and,and,and,CC,O,
427,29,datafication,datafication,datafication,NN,O,
428,29,of,of,of,IN,O,
429,29,the,the,the,DT,O,
430,29,contemporary,contemporary,contemporary,JJ,O,
431,29,book,book,book,NN,O,
432,29,world,world,world,NN,O,
433,30,Extreme,extreme,Extreme,NNP,O,
434,30,Emotions,emotions,Emotions,NNPS,O,
435,30,:,:,:,:,O,
436,30,Sir,sir,Sir,NNP,O,
437,30,Gawain,gawain,Gawain,NNP,B,PERSON
438,30,and,and,and,CC,O,
439,30,the,the,the,DT,O,
440,30,Carl,carl,Carl,NNP,B,PERSON
441,30,of,of,of,IN,O,
442,30,Carlisle,carlisle,Carlisle,NNP,O,
443,30,and,and,and,CC,O,
444,30,the,the,the,DT,O,
445,30,Danger,danger,Danger,NNP,B,PERSON
446,30,from,from,from,IN,O,
447,30,Within,within,within,IN,O,
448,31,The,the,the,DT,B,ORG
449,31,Unseen,unseen,Unseen,NNP,I,ORG
450,31,History,history,history,NN,I,ORG
451,31,of,of,of,IN,I,ORG
452,31,International,international,International,NNP,I,ORG
453,31,Law,law,Law,NNP,I,ORG
454,31,:,:,:,:,I,ORG
455,31,A,a,a,DT,I,ORG
456,31,Census,census,Census,NNP,I,ORG
457,31,Bibliography,bibliography,Bibliography,NNP,I,ORG
458,31,of,of,of,IN,I,ORG
459,31,Hugo,hugo,Hugo,NNP,I,ORG
460,31,Grotius,grotius,Grotius,NNP,I,ORG
461,31,'s,'s,'s,POS,I,ORG
462,31,De,de,De,NNP,O,
463,31,iure,iure,iure,NN,O,
464,31,belli,belli,belli,NN,O,
465,31,ac,ac,ac,IN,O,
466,31,pacis,pacis,pacis,NNP,O,
467,32,(,(,(,-LRB-,O,
468,32,Re)presenting,re)presenting,re)presente,VBG,O,
469,32,the,the,the,DT,O,
470,32,Socialist,socialist,Socialist,NNP,O,
471,32,Core,core,Core,NNP,O,
472,32,of,of,of,IN,O,
473,32,Furphy,furphy,Furphy,NNP,O,
474,32,'s,'s,'s,POS,O,
475,32,Vision,vision,Vision,NNP,O,
476,32,:,:,:,:,O,
477,32,Rigby,rigby,Rigby,NNP,O,
478,32,'s,'s,'s,POS,O,
479,32,Romance,romance,romance,NN,O,
480,32,as,as,as,IN,O,
481,32,Typescript,typescript,Typescript,NNP,O,
482,32,",",",",",",",",O,
483,32,Serial,serial,Serial,NNP,O,
484,32,and,and,and,CC,O,
485,32,Book,book,Book,NNP,O,
486,33,An,an,an,DT,O,
487,33,Old,old,Old,NNP,O,
488,33,Law,law,Law,NNP,O,
489,33,for,for,for,IN,O,
490,33,a,a,a,DT,O,
491,33,New,new,New,NNP,O,
492,33,Literature,literature,Literature,NNP,O,
493,33,:,:,:,:,O,
494,33,Authors,authors,Authors,NNP,O,
495,33,",",",",",",",",O,
496,33,Publishers,publishers,Publishers,NNPS,O,
497,33,and,and,and,CC,O,
498,33,the,the,the,DT,B,DATE
499,33,Early,early,Early,NNP,I,DATE
500,33,Years,years,Years,NNPS,I,DATE
501,33,of,of,of,IN,O,
502,33,the,the,the,DT,O,
503,33,Victorian,victorian,Victorian,NNP,O,
504,33,Copyright,copyright,Copyright,NNP,O,
505,33,Act,act,Act,NNP,O,
506,33,1869,1869,1869,CD,B,DATE
507,34,Paratexts,paratexts,Paratexts,NNP,O,
508,34,and,and,and,CC,O,
509,34,pornographic,pornographic,pornographic,JJ,O,
510,34,potential,potential,potential,NN,O,
511,34,in,in,in,IN,O,
512,34,seventeenth,seventeenth,seventeenth,JJ,B,DATE
513,34,-,-,-,HYPH,I,DATE
514,34,century,century,century,NN,I,DATE
515,34,anatomy,anatomy,anatomy,NN,O,
516,34,books,books,book,NNS,O,
517,35,The,the,the,DT,O,
518,35,Silent,silent,Silent,NNP,O,
519,35,Dialogue,dialogue,Dialogue,NNP,O,
520,35,Between,between,between,IN,O,
521,35,Murilo,murilo,Murilo,NNP,O,
522,35,Mendes,mendes,Mendes,NNP,O,
523,35,and,and,and,CC,O,
524,35,Lais,lais,Lais,NNP,B,ORG
525,35,Correa,correa,Correa,NNP,I,ORG
526,35,de,de,de,NNP,I,ORG
527,35,Araujo,araujo,Araujo,NNP,I,ORG
528,35,",",",",",",",",O,
529,35,the,the,the,DT,O,
530,35,History,history,history,NN,O,
531,35,of,of,of,IN,O,
532,35,Brazil,brazil,Brazil,NNP,B,GPE
533,36,Comparative,comparative,Comparative,NNP,B,ORG
534,36,Critical,critical,Critical,NNP,I,ORG
535,36,Studies,studies,Studies,NNPS,I,ORG
536,36,Translation,translation,Translation,NNP,I,ORG
537,36,meets,meets,meet,VBZ,I,ORG
538,36,Book,book,Book,NNP,I,ORG
539,36,History,history,history,NN,I,ORG
540,36,:,:,:,:,O,
541,36,Intersections,intersections,intersections,CD,O,
542,36,1700,1700,1700,CD,B,DATE
543,36,-,-,-,SYM,I,DATE
544,36,1950,1950,1950,CD,I,DATE
545,36,VOLUME,volume,volume,NN,O,
546,36,16.2,16.2,16.2,CD,B,CARDINAL
547,36,-,-,-,SYM,I,CARDINAL
548,36,3,3,3,CD,I,CARDINAL
549,36,(,(,(,-LRB-,O,
550,36,2019,2019,2019,CD,B,DATE
551,36,),),),-RRB-,O,
552,36,Introduction,introduction,introduction,NN,O,
553,37,Intersections,intersections,intersection,NNS,O,
554,37,between,between,between,IN,O,
555,37,Translation,translation,Translation,NNP,O,
556,37,and,and,and,CC,O,
557,37,Book,book,Book,NNP,O,
558,37,History,history,History,NNP,O,
559,37,:,:,:,:,O,
560,37,Reflections,reflections,reflection,NNS,O,
561,37,and,and,and,CC,O,
562,37,New,new,New,NNP,O,
563,37,Directions,directions,Directions,NNPS,O,
564,38,Tauchnitz,tauchnitz,Tauchnitz,NNP,B,ORG
565,38,for,for,for,IN,O,
566,38,Translators,translators,translator,NNS,B,ORG
567,38,.,.,.,.,O,
568,38,The,the,the,DT,O,
569,38,Circulation,circulation,Circulation,NNP,O,
570,38,of,of,of,IN,O,
571,38,English,english,English,NNP,B,LANGUAGE
572,38,-,-,-,HYPH,O,
573,38,language,language,language,NN,O,
574,38,Literature,literature,Literature,NNP,O,
575,38,in,in,in,IN,O,
576,38,Finland,finland,Finland,NNP,B,GPE
577,39,Single,single,single,JJ,O,
578,39,or,or,or,CC,O,
579,39,Return,return,Return,NNP,O,
580,39,",",",",",",",",O,
581,39,Ladies,ladies,Ladies,NNPS,O,
582,39,?,?,?,.,O,
583,39,The,the,the,DT,B,WORK_OF_ART
584,39,Politics,politics,politic,NNS,I,WORK_OF_ART
585,39,of,of,of,IN,I,WORK_OF_ART
586,39,Translating,translating,Translating,NNP,I,WORK_OF_ART
587,39,and,and,and,CC,I,WORK_OF_ART
588,39,Publishing,publishing,Publishing,NNP,I,WORK_OF_ART
589,39,Heine,heine,Heine,NNP,I,WORK_OF_ART
590,39,on,on,on,IN,O,
591,39,Shakespeare,shakespeare,Shakespeare,NNP,B,PERSON
592,40,The,the,the,DT,B,ORG
593,40,Spanish,spanish,spanish,JJ,I,ORG
594,40,Translation,translation,Translation,NNP,I,ORG
595,40,of,of,of,IN,I,ORG
596,40,Les,les,Les,NNP,I,ORG
597,40,Lecons,lecons,Lecons,NNP,I,ORG
598,40,de,de,de,FW,I,ORG
599,40,chimie,chimie,chimie,NN,I,ORG
600,40,elementaire,elementaire,elementaire,NN,O,
601,40,:,:,:,:,O,
602,40,On,on,on,IN,O,
603,40,the,the,the,DT,B,ORG
604,40,Legal,legal,Legal,NNP,I,ORG
605,40,Status,status,Status,NNP,I,ORG
606,40,of,of,of,IN,I,ORG
607,40,Translation,translation,Translation,NNP,I,ORG
608,40,and,and,and,CC,O,
609,40,its,its,its,PRP$,O,
610,40,Various,various,various,JJ,O,
611,40,Values,values,value,NNS,O,
612,41,Stress,stress,stress,NN,O,
613,41,-,-,-,HYPH,O,
614,41,testing,testing,testing,NN,O,
615,41,Book,book,Book,NNP,B,WORK_OF_ART
616,41,History,history,History,NNP,I,WORK_OF_ART
617,41,Models,models,Models,NNPS,I,WORK_OF_ART
618,41,as,as,as,IN,O,
619,41,a,a,a,DT,O,
620,41,Framework,framework,Framework,NNP,O,
621,41,for,for,for,IN,O,
622,41,Studying,studying,Studying,NNP,O,
623,41,Translations,translations,translation,NNS,O,
624,41,in,in,in,IN,O,
625,41,Society,society,Society,NNP,O,
626,41,:,:,:,:,O,
627,41,Censorship,censorship,Censorship,NNP,O,
628,41,and,and,and,CC,O,
629,41,Patronage,patronage,Patronage,NNP,O,
630,41,in,in,in,IN,O,
631,41,Occupied,occupied,Occupied,NNP,B,GPE
632,41,Japan,japan,Japan,NNP,B,GPE
633,42,Tagalog,tagalog,Tagalog,NNP,B,GPE
634,42,Missionary,missionary,Missionary,NNP,I,GPE
635,42,Grammars,grammars,Grammars,NNPS,O,
636,42,as,as,as,IN,O,
637,42,a,a,a,DT,O,
638,42,Translation,translation,Translation,NNP,B,ORG
639,42,Resource,resource,Resource,NNP,I,ORG
640,42,:,:,:,:,I,ORG
641,42,Translation,translation,Translation,NNP,I,ORG
642,42,",",",",",",",",O,
643,42,Book,book,Book,NNP,O,
644,42,History,history,History,NNP,O,
645,42,and,and,and,CC,O,
646,42,the,the,the,DT,O,
647,42,Production,production,Production,NNP,O,
648,42,of,of,of,IN,O,
649,42,Linguistic,linguistic,Linguistic,NNP,O,
650,42,Knowledge,knowledge,Knowledge,NNP,O,
651,42,in,in,in,IN,O,
652,42,the,the,the,DT,O,
653,42,Spanish,spanish,Spanish,NNP,B,NORP
654,42,Philippines,philippines,Philippines,NNPS,B,GPE
655,43,Tracing,tracing,trace,VBG,O,
656,43,the,the,the,DT,O,
657,43,History,history,history,NN,O,
658,43,of,of,of,IN,O,
659,43,the,the,the,DT,O,
