LastName,NumPeopleRace,RankRace,PercentRace,RankAll,NumPeopleAll
SHARMA,"12,736",80,85.60%,2247,14870
CHAU,"12,460",81,94.10%,2498,13238
GARCIA,"12,274",82,1.40%,8,"858,289"
HA,"12,189",83,93.80%,2558,12988
KUMAR,"12,170",84,83.80%,2293,14517
XU,"12,041",85,98.50%,2701,12228
DESAI,"11,976",86,91.70%,2540,13057
THOMAS,"11,584",87,1.60%,14,"710,696"
HU,"11,515",88,95.50%,2747,12056
LUU,"11,459",89,95.80%,2768,11965
ZHOU,"11,350",90,98.00%,2839,11586
DINH,"11,308",91,95.50%,2792,11836
YOON,"11,045",92,95.50%,2848,11563
TRINH,"11,004",93,95.60%,2868,11507
TAM,"10,985",94,90.40%,2723,12150
LUONG,"10,771",95,96.00%,2951,11214
CHONG,"10,740",96,82.80%,2561,12976
CHIU,"10,522",97,92.90%,2920,11321
ZHENG,"10,495",98,98.40%,3111,10670
CAO,"10,410",99,93.70%,2986,11106
ZHU,"10,286",100,97.90%,3147,10508
WOO,"10,271",101,88.30%,2824,11628
ZHAO,"10,157",102,98.40%,3187,10324
JUNG,"9,941",103,57.10%,1896,"17,395"
MAI,"9,855",104,81.90%,2752,"12,027"
KO,"9,806",105,93.50%,3152,10483
RAMOS,"9,732",106,5.00%,112,"193,096"
CHUN,"9,627",107,86.30%,2967,11154
HER,"9,550",108,91.50%,3159,10434
SMITH,"9,505",109,0.40%,1,"2,376,206"
KONG,"9,407",110,85.20%,3005,11040
GUPTA,"9,375",111,90.40%,3172,10376
YOO,"9,350",112,94.90%,3330,9853
DOAN,"9,322",113,58.60%,2094,"15,902"
MOUA,"9,122",114,93.30%,3347,9776
KWON,"9,064",115,96.40%,3472,9405
PAK,"9,037",116,91.50%,3322,9877
DELACRUZ,"8,966",117,18.20%,629,"49,158"
TSAI,"8,874",118,95.10%,3503,9332
MEHTA,"8,776",119,90.60%,3377,9691
MENDOZA,"8,765",120,5.20%,134,"168,567"
TONG,"8,589",121,79.50%,3074,"10,809"
JIANG,"8,388",122,97.70%,3791,8582
BAUTISTA,"8,341",123,22.00%,830,"37,847"
SHEN,"8,238",124,93.30%,3690,8832
VUE,"8,010",125,93.90%,3822,8528
SU,"7,999",126,94.00%,3835,8507
THAI,"7,990",127,94.70%,3864,8440
ENG,"7,906",128,78.30%,3246,"10,102"
JOHNSON,"7,800",129,0.40%,2,"1,857,160"
DAO,"7,605",130,93.20%,3994,8163
CHOU,"7,485",131,94.90%,4163,7885
HUSSAIN,"7,482",132,67.60%,2996,"11,070"
PAN,"7,476",133,91.80%,4004,8143
AHN,"7,451",134,91.60%,4010,8130
CHAO,"7,444",135,86.20%,3769,8633
KWAN,"7,404",136,93.70%,4147,7906
QUACH,"7,359",137,96.50%,4305,7624
LOR,"7,328",138,90.90%,4053,8061
RAHMAN,"7,313",139,68.20%,3102,"10,719"
FERNANDEZ,"7,202",140,5.20%,178,"139,302"
CHA,"7,174",141,93.20%,4258,7698
YAN,"7,145",142,89.10%,4091,8016
VUONG,"6,883",143,96.30%,4556,7148
CHIANG,"6,851",144,94.00%,4479,7290
LEONG,"6,818",145,85.60%,4119,7967
HE,"6,737",146,95.50%,4600,7057
FLORES,"6,721",147,2.10%,55,"312,615"
FUNG,"6,672",148,88.70%,4367,7518
DONG,"6,628",149,90.50%,4458,7327
NAKAMURA,"6,613",150,84.60%,4203,7821
TO,"6,593",151,94.50%,4649,6979
CHOE,"6,591",152,95.20%,4682,6926
ONG,"6,571",153,86.80%,4343,7572
TANAKA,"6,538",154,82.90%,4160,7887
LOUIE,"6,517",155,80.70%,4046,8071
YUN,"6,515",156,94.10%,4680,6927
LOPEZ,"6,464",157,1.00%,21,"621,536"
TU,"6,437",158,94.30%,4745,6826
YAMAMOTO,"6,351",159,83.00%,4289,7652
MATHEW,"6,317",160,67.80%,3509,"9,311"
DEGUZMAN,"6,291",161,84.00%,4385,7487
YUEN,"6,250",162,89.40%,4639,6990
MOON,"6,246",163,14.80%,748,"42,062"
FANG,"6,237",164,91.80%,4771,6791
YEUNG,"6,203",165,96.00%,4984,6464
KUO,"6,177",166,94.00%,4914,6570
RIVERA,"6,169",167,2.10%,59,"299,463"
SON,"6,164",168,78.60%,4189,7843
RAO,"6,083",169,72.20%,3872,"8,423"
GONZALES,"6,012",170,3.10%,110,"193,934"
AHMAD,"5,945",171,52.20%,2889,"11,395"
MOY,"5,925",172,69.50%,3827,"8,523"
GUO,"5,912",173,97.60%,5287,6058
PANG,"5,863",174,88.50%,4865,6627
SO,"5,773",175,92.70%,5166,6227
YEH,"5,773",175,93.80%,5214,6153
PEREZ,"5,765",177,1.20%,29,"488,521"
AQUINO,"5,758",178,31.20%,1781,"18,472"
GILL,"5,736",179,8.30%,430,"68,699"
REDDY,"5,724",180,57.80%,3312,"9,911"
TSANG,"5,677",181,95.50%,5392,5943
WILLIAMS,"5,676",182,0.40%,3,"1,534,042"
BROWN,"5,659",183,0.40%,4,"1,380,145"
WEI,"5,631",184,93.30%,5310,6037
GEORGE,"5,594",185,4.70%,227,"119,778"
SATO,"5,591",186,81.50%,4726,6864
VILLANUEVA,"5,580",187,12.50%,703,"44,570"
FENG,"5,566",188,96.00%,5512,5797
TA,"5,565",189,95.50%,5487,5829
SAECHAO,"5,541",190,91.70%,5304,6043
LIAO,"5,537",191,95.90%,5534,5771
JOSEPH,"5,530",192,6.90%,356,"80,030"
MALIK,"5,470",193,52.70%,3172,"10,376"
LUM,"5,461",194,67.60%,4042,"8,074"
DELEON,"5,438",195,8.30%,460,"65,598"
CASTILLO,"5,394",196,3.30%,135,"165,473"
TOM,"5,358",197,55.60%,3405,"9,629"
JAIN,"5,349",198,89.20%,5348,5996
LEW,"5,336",199,73.10%,4464,"7,304"
JANG,"5,316",200,92.00%,5531,5776
HUNG,"5,309",201,86.00%,5199,6173
FU,"5,294",202,94.10%,5658,5624
WATANABE,"5,284",203,83.90%,5115,6295
FAN,"5,275",204,92.50%,5587,5701
AU,"5,238",205,84.80%,5195,6177
HSIEH,"5,227",206,95.10%,5774,5494
AMIN,"5,204",207,68.50%,4327,"7,601"
GAO,"5,204",207,96.30%,5866,5405
YIP,"5,197",209,93.80%,5730,5542
PHUNG,"5,191",210,96.40%,5882,5387
CHING,"5,189",211,75.00%,4683,6919
YUAN,"5,170",212,95.80%,5877,5394
SUNG,"5,150",213,94.70%,5820,5439
TSE,"5,144",214,94.80%,5837,5429
SUH,"5,124",215,95.00%,5878,5391
LUI,"5,105",216,90.80%,5662,5620
CASTRO,"5,104",217,3.80%,194,"133,254"
PENG,"5,058",218,78.30%,4989,6460
CHI,"5,025",219,87.60%,5561,5735
GEE,"5,020",220,21.10%,1363,"23,826"
YIM,"5,019",221,92.50%,5841,5426
JIN,"4,999",222,96.40%,6100,5186
AN,"4,996",223,91.90%,5831,5435
HUA,"4,991",224,94.50%,6005,5280
KAO,"4,990",225,93.90%,5963,5316
ABRAHAM,"4,955",226,19.30%,1250,"25,729"
VAN,"4,943",227,39.40%,2653,"12,531"
HUI,"4,886",228,92.50%,6003,5282
JOSHI,"4,855",229,88.60%,5781,5478
KWONG,"4,844",230,96.20%,6246,5037
LUO,"4,843",231,97.10%,6291,4990
PRASAD,"4,788",232,77.10%,5172,6212
MARTIN,"4,776",233,0.70%,17,"672,711"
JONES,"4,770",234,0.40%,5,"1,362,755"
CHOWDHURY,"4,766",235,82.70%,5539,5765
DOMINGO,"4,757",236,60.00%,4140,7922
MILLER,"4,737",237,0.40%,6,"1,127,803"
PARIKH,"4,721",238,92.30%,6170,5113
XIE,"4,698",239,97.60%,6505,4812
SHI,"4,688",240,95.90%,6415,4886
RODRIGUEZ,"4,665",241,0.60%,9,"804,240"
MARTINEZ,"4,650",242,0.60%,11,"775,072"
TORRES,"4,617",243,1.40%,50,"325,169"
DIEP,"4,617",243,95.60%,6489,4827
YE,"4,602",245,96.20%,6535,4786
HERNANDEZ,"4,591",246,0.60%,15,"706,372"
MIN,"4,566",247,90.80%,6254,5028
BEGUM,"4,560",248,84.80%,5897,5375
SUZUKI,"4,538",249,86.70%,6045,5233
HANG,"4,530",250,83.80%,5865,5406
ISLAM,"4,503",251,75.50%,5369,5967
SANCHEZ,"4,457",252,1.00%,33,"441,242"
QUAN,"4,443",253,81.10%,5781,5478
LA,"4,441",254,90.80%,6408,4892
DU,"4,428",255,94.80%,6669,4670
KWOK,"4,412",256,94.80%,6698,4652
DAVIS,"4,289",257,0.40%,7,"1,072,335"
YAO,"4,266",258,92.90%,6765,4592
MEI,"4,260",259,88.90%,6526,4794
TAKAHASHI,"4,240",260,86.30%,6378,4913
SYED,"4,233",261,79.70%,5969,5310
YEN,"4,218",262,90.20%,6661,4676
LEI,"4,176",263,87.90%,6583,4749
VARGHESE,"4,155",264,92.90%,6922,4472
TSENG,"4,127",265,94.80%,7087,4352
CAI,"4,113",266,96.00%,7178,4286
CHOY,"4,110",267,80.30%,6166,5116
NAM,"4,093",268,92.80%,7005,4412
HOM,"4,076",269,81.30%,6262,5015
LAW,"4,070",270,13.20%,1037,"30,900"
SIDDIQUI,"4,066",271,81.40%,6281,4994
DAVID,"4,059",272,10.50%,818,"38,659"
SANTIAGO,"4,030",273,4.40%,302,"90,967"
WAN,"4,028",274,87.50%,6747,4605
LING,"4,025",275,49.00%,3968,"8,221"
JOHN,"3,983",276,14.40%,1161,"27,643"
LONG,"3,978",277,1.80%,86,"223,494"
YIN,"3,913",278,92.20%,7245,4246
TOLENTINO,"3,898",279,50.80%,4271,7679
SHIH,"3,898",279,94.80%,7464,4113
THACH,"3,897",281,83.70%,6688,4657
GONG,"3,883",282,78.20%,6317,4967
GANDHI,"3,867",283,91.70%,7292,4215
KING,"3,863",284,0.90%,35,"438,986"
BAE,"3,852",285,95.30%,7590,4040
ITO,"3,786",286,85.70%,6998,4417
DENG,"3,775",287,91.60%,7444,4123
MATSUMOTO,"3,774",288,83.50%,6858,4520
RAMIREZ,"3,773",289,1.00%,42,"388,987"
GUAN,"3,771",290,92.30%,7513,4087
SORIANO,"3,764",291,21.60%,1891,"17,418"
DELROSARIO,"3,755",292,61.10%,5219,6147
MAO,"3,755",292,92.80%,7578,4047
YAMADA,"3,744",294,83.80%,6928,4466
DIZON,"3,720",295,84.40%,7012,4409
SEO,"3,707",296,94.30%,7806,3929
POON,"3,696",297,91.20%,7570,4051
SANDHU,"3,663",298,85.20%,7161,4298
ANDERSON,"3,659",299,0.50%,12,"762,394"
MAK,"3,658",300,85.40%,7184,4283
LAO,"3,655",301,80.80%,6850,4523
WILSON,"3,602",302,0.50%,10,"783,051"
IM,"3,589",303,93.90%,8007,3823
ZENG,"3,584",304,96.60%,8219,3711
TUNG,"3,541",305,91.00%,7891,3892
CHON,"3,523",306,91.30%,7958,3857
QURESHI,"3,505",307,78.40%,6921,4473
SHIM,"3,499",308,86.40%,7574,4048
KOO,"3,422",309,88.40%,7928,3870
CHEW,"3,403",310,40.00%,3831,"8,516"
YOSHIDA,"3,386",311,82.60%,7497,4097
WEN,"3,383",312,92.60%,8331,3655
PASCUAL,"3,359",313,44.60%,4354,7536
JACOB,"3,346",314,15.70%,1541,"21,354"
PERSAUD,"3,333",315,38.50%,3766,8649
UNG,"3,323",316,84.50%,7794,3933
VALDEZ,"3,313",317,3.40%,283,"98,610"
FRANCISCO,"3,313",317,18.40%,1833,"17,976"
KU,"3,305",319,88.00%,8131,3755
SAITO,"3,280",320,77.30%,7249,4243
BHATT,"3,274",321,90.70%,8410,3609
LOW,"3,255",322,28.40%,2873,"11,475"
YUNG,"3,237",323,75.80%,7208,4272
KOBAYASHI,"3,236",324,85.80%,8097,3772
SIU,"3,235",325,85.60%,8084,3777
TAI,"3,229",326,86.50%,8171,3732
BHAKTA,"3,229",326,92.20%,8644,3502
CORPUZ,"3,214",328,79.60%,7596,4037
WON,"3,208",329,91.20%,8607,3518
RHEE,"3,195",330,92.30%,8733,3463
SIM,"3,186",331,64.80%,6376,"4,915"
ALAM,"3,176",332,71.30%,6942,4455
DAS,"3,133",333,72.10%,7091,4348
MAN,"3,132",334,70.80%,6985,4425
KATO,"3,123",335,68.00%,6769,4591
MUI,"3,121",336,92.40%,8916,3376
TON,"3,104",337,84.00%,8246,3696
KIMURA,"3,096",338,82.90%,8165,3735
HIGA,"3,090",339,78.70%,7814,3925
SOK,"3,035",340,82.40%,8271,3684
NAVARRO,"3,033",341,4.10%,388,"73,970"
CHAUDHRY,"3,031",342,82.50%,8289,3675
CHIEN,"3,028",343,93.50%,9257,3239
DIAZ,"2,996",344,1.20%,73,"251,772"
YOU,"2,991",345,92.10%,9238,3246
MERCADO,"2,986",346,6.40%,674,"46,437"
GUTIERREZ,"2,981",347,1.40%,96,"212,905"
KWAK,"2,950",348,80.20%,8279,3678
GU,"2,947",349,95.10%,9629,3098
SAM,"2,940",350,30.60%,3413,"9,600"
YAP,"2,917",351,81.00%,8424,3603
SIN,"2,904",352,87.10%,9011,3335
MOHAMMED,"2,901",353,30.30%,3419,"9,585"
JUN,"2,888",354,92.20%,9516,3134
NAIR,"2,863",355,76.80%,8185,3728
RANA,"2,856",356,73.70%,7920,3875
THOMPSON,"2,835",357,0.40%,19,"644,368"
TAYLOR,"2,809",358,0.40%,13,"720,370"
CHEA,"2,797",359,82.20%,8850,3404
LIEU,"2,777",360,94.70%,10114,2933
ROY,"2,775",361,5.60%,621,"49,725"
VONG,"2,774",362,89.50%,9625,3100
YONG,"2,762",363,78.10%,8578,3535
MIRANDA,"2,760",364,4.10%,437,"67,646"
IQBAL,"2,758",365,78.60%,8629,3508
GOMEZ,"2,741",366,1.00%,68,"263,590"
HOU,"2,735",367,92.50%,10049,2958
OSHIRO,"2,731",368,85.30%,9340,3202
XIAO,"2,728",369,98.60%,10626,2768
TAO,"2,726",370,92.00%,10031,2964
MEDINA,"2,717",371,1.90%,176,"139,353"
SHAIKH,"2,713",372,82.90%,9163,3273
JEONG,"2,713",372,96.00%,10444,2826
MORALES,"2,699",374,1.20%,90,"217,642"
TING,"2,697",375,88.40%,9782,3050
GO,"2,692",376,87.70%,9716,3068
CHUA,"2,649",377,91.20%,10193,2904
BHATIA,"2,637",378,89.60%,10093,2944
IGNACIO,"2,634",379,59.80%,7017,4405
SASAKI,"2,633",380,83.80%,9488,3142
PAUL,"2,623",381,3.60%,401,"72,248"
OCAMPO,"2,619",382,15.10%,1903,17334
JAVIER,"2,619",382,39.70%,4891,6594
DHILLON,"2,619",382,85.40%,9716,3068
TSUI,"2,587",385,94.90%,10748,2725
MOORE,"2,585",386,0.40%,16,"698,671"
HAYASHI,"2,585",386,82.80%,9550,3123
ZHONG,"2,551",388,98.30%,11200,2595
PASCUA,"2,542",389,75.40%,8926,3370
VERMA,"2,541",390,88.30%,10266,2877
KOH,"2,539",391,87.80%,10226,2893
MANUEL,"2,529",392,10.40%,1337,"24,227"
VELASCO,"2,529",392,10.90%,1411,"23,114"
YAU,"2,523",394,93.90%,10881,2686
MAR,"2,510",395,58.00%,7120,4327
FERNANDO,"2,497",396,58.10%,7161,4298
WHITE,"2,494",397,0.40%,20,"639,515"
TENG,"2,487",398,93.60%,10984,2657
HOSSAIN,"2,478",399,84.50%,10118,2932
SHETH,"2,476",400,86.80%,10350,2851
DEJESUS,"2,465",401,7.80%,1002,"31,803"
SHEIKH,"2,464",402,66.20%,8200,3724
LOO,"2,459",403,76.00%,9263,3237
KAM,"2,457",404,73.20%,8954,3358
DEVERA,"2,457",404,75.90%,9257,3239
DING,"2,456",406,90.50%,10794,2713
HASAN,"2,451",407,40.40%,5272,"6,074"
TRIEU,"2,445",408,93.60%,11138,2613
ANGELES,"2,440",409,27.50%,3676,8873
DAI,"2,434",410,92.30%,11060,2636
DAVE,"2,426",411,60.40%,7630,4016
YAMAGUCHI,"2,425",412,84.30%,10273,2875
JIMENEZ,"2,409",413,1.50%,147,"157,475"
KUNG,"2,406",414,88.20%,10740,2727
FERRER,"2,396",415,18.40%,2556,"13,010"
ANTONIO,"2,387",416,23.20%,3200,"10,267"
CHUANG,"2,369",417,95.60%,11621,2478
JOSE,"2,359",418,31.90%,4435,"7,389"
BANG,"2,355",419,59.20%,7715,"3,977"
GREWAL,"2,348",420,87.40%,10876,2687
ESPIRITU,"2,344",421,70.80%,9077,3310
MURAKAMI,"2,344",421,83.20%,10460,2817
SIDHU,"2,341",423,83.00%,10450,2821
SALVADOR,"2,338",424,26.50%,3694,"8,827"
ENRIQUEZ,"2,325",425,7.80%,1072,"29,886"
MAHMOOD,"2,310",426,65.50%,8594,3525
OU,"2,308",427,95.30%,11844,2422
ARORA,"2,305",428,87.30%,11044,2640
AGARWAL,"2,304",429,92.00%,11523,2504
SILVA,"2,296",430,1.80%,214,"126,164"
SAKAMOTO,"2,296",430,82.30%,10548,2790
LEWIS,"2,295",432,0.50%,26,"509,930"
NI,"2,289",433,94.70%,11859,2418
SAMUEL,"2,280",434,11.90%,1711,"19,225"
SZETO,"2,280",434,94.00%,11827,2426
HALL,"2,273",436,0.50%,30,"473,568"
GONZALEZ,"2,271",437,0.40%,23,"597,718"
LAY,"2,267",438,12.60%,1832,"17,979"
UDDIN,"2,265",439,76.90%,10093,2944
TRIVEDI,"2,265",439,92.70%,11737,2444
HASHIMOTO,"2,261",441,83.60%,10811,2706
SHIMIZU,"2,257",442,84.80%,10976,2660
CLARK,"2,248",443,0.40%,25,"548,369"
UY,"2,241",444,91.10%,11680,2461
FUJIMOTO,"2,236",445,83.50%,10907,2678
HAM,"2,235",446,14.10%,2103,"15,843"
MARQUEZ,"2,231",447,2.80%,357,"79,951"
HASSAN,"2,228",448,18.60%,2762,"11,993"
WENG,"2,228",448,83.80%,10982,2658
CHAI,"2,227",450,85.20%,11132,2615
GUERRERO,"2,222",451,2.40%,291,"94,152"
IKEDA,"2,211",452,85.20%,11200,2595
KAN,"2,200",453,81.30%,10816,2705
AGUILAR,"2,199",454,1.70%,213,"126,399"
GIANG,"2,196",455,96.10%,12458,2285
ASUNCION,"2,193",456,71.40%,9700,3073
AGUSTIN,"2,191",457,55.10%,7711,3979
SRINIVASAN,"2,191",457,92.80%,12112,2361
EVANGELISTA,"2,186",459,31.80%,4720,"6,871"
MARIANO,"2,181",460,30.70%,4576,"7,111"
SY,"2,178",461,78.10%,10566,2787
MISTRY,"2,176",462,88.20%,11653,2466
CORTEZ,"2,162",463,2.80%,367,"77,492"
INOUYE,"2,161",464,78.60%,10672,2751
HENG,"2,154",465,75.00%,10281,2873
ANCHETA,"2,151",466,72.10%,9973,2985
KEO,"2,146",467,85.40%,11496,2512
HARRIS,"2,137",468,0.40%,24,"593,542"
NISHIMURA,"2,133",469,83.60%,11349,2551
PINEDA,"2,129",470,5.50%,806,"38,999"
TSAO,"2,121",471,93.90%,12573,2259
NAKAGAWA,"2,117",472,86.40%,11726,2449
LAL,"2,116",473,73.80%,10294,2868
HSIAO,"2,116",473,95.80%,12799,2208
DELOSSANTOS,"2,113",475,15.30%,2409,13802
PAIK,"2,108",476,86.00%,11722,2450
DELOSREYES,"2,104",477,56.60%,8212,3716
NELSON,"2,102",478,0.50%,40,"412,236"
SAELEE,"2,094",479,93.10%,12624,2250
SISON,"2,092",480,78.20%,10920,2674
SINHA,"2,083",481,88.30%,12122,2360
SARMIENTO,"2,068",482,23.00%,3630,8986
JACKSON,"2,065",483,0.30%,18,"666,125"
ROMERO,"2,061",484,1.30%,154,"153,772"
MIRZA,"2,054",485,63.50%,9267,3234
PERALTA,"2,046",486,8.30%,1305,"24,713"
YAMASHITA,"2,043",487,83.90%,11781,2435
KUANG,"2,036",488,98.30%,13473,2071
CABRERA,"2,035",489,3.60%,524,"57,171"
KANESHIRO,"2,031",490,84.20%,11879,2413
CONCEPCION,"2,029",491,22.00%,3536,9222
ABE,"2,027",492,67.60%,9930,2998
MANALO,"2,027",492,82.30%,11677,2462
MO,"2,027",492,85.90%,12112,2361
JI,"2,022",495,96.30%,13311,2100
JO,"2,020",496,80.30%,11476,2517
SETO,"2,012",497,79.70%,11444,2526
PANDYA,"2,011",498,92.30%,12936,2178
MORI,"1,997",499,51.30%,7895,"3,890"
HAHN,"1,994",500,5.20%,822,"38,354"
ANG,"1,977",501,77.20%,11317,2562
CHACKO,"1,972",502,84.00%,12168,2347
JEON,"1,956",503,92.00%,13175,2126
MANN,"1,953",504,2.40%,349,"81,022"
FUJII,"1,943",505,84.40%,12377,2302
ALVAREZ,"1,941",506,1.10%,132,"168,817"
PAREKH,"1,941",506,91.20%,13165,2129
CHANDRA,"1,939",508,79.90%,11818,2428
MOK,"1,932",509,90.50%,13137,2134
OKAMOTO,"1,931",510,79.30%,11788,2434
BHATTI,"1,931",510,80.30%,11917,2406
KAPOOR,"1,929",512,85.60%,12605,2253
SHAW,"1,924",513,1.20%,150,"155,172"
KULKARNI,"1,923",514,92.30%,13407,2083
JOO,"1,918",515,88.20%,12945,2174
MAH,"1,912",516,74.90%,11346,2553
LOU,"1,910",517,78.20%,11758,2441
QIU,"1,904",518,98.40%,14236,1934
ALLEN,"1,900",519,0.40%,32,"463,368"
JAMES,"1,889",520,0.80%,80,"233,224"
CHAE,"1,883",521,94.10%,13848,2002
KRISHNAN,"1,879",522,91.80%,13604,2047
VYAS,"1,874",523,91.10%,13540,2058
REN,"1,873",524,80.30%,12241,2333
AKHTAR,"1,872",525,76.60%,11734,2445
SAKAI,"1,870",526,81.20%,12373,2303
SAEPHAN,"1,867",527,92.50%,13759,2019
ROBINSON,"1,861",528,0.40%,27,"503,028"
BAKER,"1,860",529,0.40%,38,"413,351"
ADAMS,"1,859",530,0.50%,39,"413,086"
SHAO,"1,844",531,95.10%,14201,1939
BANH,"1,843",532,92.60%,13907,1991
PAI,"1,840",533,86.80%,13213,2119
LIEN,"1,835",534,27.70%,4860,"6,630"
GHOSH,"1,835",534,88.30%,13440,2077
ONO,"1,832",536,82.60%,12767,2218
ABAD,"1,830",537,38.20%,6523,4795
JOE,"1,815",538,21.70%,3891,"8,382"
XIA,"1,810",539,98.00%,14745,1847
MIYAMOTO,"1,809",540,82.30%,12841,2197
BAEK,"1,808",541,95.90%,14498,1885
ACOSTA,"1,805",542,2.40%,377,"76,477"
SALAZAR,"1,804",543,1.60%,240,"113,468"
TRANG,"1,803",544,95.00%,14432,1898
DAM,"1,797",545,69.90%,11287,2570
VALENCIA,"1,791",546,3.60%,616,"50,026"
IYER,"1,790",547,92.40%,14212,1937
NAKANO,"1,788",548,84.20%,13187,2124
CHOUDHURY,"1,787",549,83.20%,13067,2149
SAETERN,"1,787",549,92.80%,14273,1926
ZOU,"1,785",551,96.90%,14783,1842
HUH,"1,773",552,95.00%,14615,1867
RUIZ,"1,772",553,1.00%,129,"175,429"
MATSUDA,"1,771",554,83.30%,13175,2126
PHILIP,"1,764",555,38.50%,6778,"4,584"
SAINI,"1,762",556,87.80%,13825,2006
WRIGHT,"1,761",557,0.40%,34,"440,367"
ALEXANDER,"1,760",558,0.90%,111,"193,443"
WALKER,"1,755",559,0.40%,28,"501,307"
TRINIDAD,"1,752",560,19.00%,3533,9228
SOHN,"1,750",561,43.20%,7574,"4,048"
MENG,"1,741",562,45.40%,7987,"3,837"
LAN,"1,740",563,76.90%,12563,2262
SHU,"1,737",564,91.80%,14467,1892
BAIG,"1,734",565,76.80%,12573,2259
HILL,"1,729",566,0.40%,41,"411,770"
HAQUE,"1,729",566,83.20%,13440,2077
RASHID,"1,726",568,40.10%,7152,"4,309"
TIEU,"1,726",568,96.60%,15146,1786
SUBRAMANIAN,"1,725",570,94.80%,14920,1820
SCOTT,"1,722",571,0.40%,36,"420,091"
ALCANTARA,"1,722",571,21.20%,4017,8112
RAI,"1,722",571,81.80%,13290,2106
ROBERTS,"1,721",574,0.50%,45,"366,215"
LEGASPI,"1,709",575,67.70%,11449,2524
PHU,"1,706",576,95.80%,15187,1781
GUZMAN,"1,705",577,1.40%,230,"118,390"
BYUN,"1,700",578,96.40%,15293,1764
PADILLA,"1,693",579,2.10%,345,"81,805"
MALHOTRA,"1,693",579,87.50%,14226,1935
TIEN,"1,693",579,88.50%,14349,1914
